,reviews
0,i frequently fly to kinshasa and chose this time to use kenya airways as their business class was the cheapest available and the flight was from heathrow only ten minutes from home the seat was comfortable enough but the inflight entertainment was limited cabin crew on the outward flights were charming and attentive but rather dour on the return flight flight delays were a feature of the trip with nbofih delayed by an hour then fihnbo delayed by 12  hours with no explanation it meant missing my nbolhr connection and waiting for 16 hours in nairobi airport luckily i was in business class so could spend the wait in the wellappointed lounge in future although it is more expensive i will stick to brussels airlines
1,05 oct 2023 londonnairobi we are a couple and booked mid 2023 for tickets departing london kq103 at 1110 am kenya airways deliberately put us on flight kq101 departing 1825 no prior notification long before as it is the rule on same day 5 oct morning as we were on the way to the airport we noticed an email for the online checkin with the change of time  6 hours waiting at lhr missing correspondence to our final destination and yet flight kq101 at 1110 am did operate and left london at that time we raised claimincident created 13 oct 2023 after resisting emails from us with objective and justified case after a first odd reply and full of non sense from kenya airways they offered us a compensation of 600 eur per person while requiring a list of documents from us we sent all documents they required  15 nov 2023  kq confirmed good receipt of our documents all correct and assured payment to take over 2 months and we are yet to see the amount back in our account no answer we had sent 5 reminders we also noticed on kq customer space our case as incident closed 3 mar 2024 at last email from kenya airways pretending excuse and announced  payment is actively under process for a simple bank transfer 5 months on 16 mar 2024 still no money to our account
2,my recent experience with kenya airways was incredibly disappointing during a transit from nairobi to addis ababa the airline made a critical mistake resulting in us missing our connecting flight despite having a transit time of only one hour and 40 minutes we were left stranded at the airport for over 24 hours without any proper assistance after the airline acknowledged their error they offered no immediate solution or support we were left to fend for ourselves with no food provided and no accommodation arranged forcing us to sleep on uncomfortable chairs in the waiting area attempts to seek assistance from the manager were futile as no help was provided furthermore the lack of options for purchasing food at reasonable prices within the airport coupled with restrictions on bringing food from outside only added to our frustration this experience not only caused significant inconvenience but also led to me missing out on a special occasion i strongly advise against using kenya airways and urge fellow travelers to consider alternative options the lack of basic care and assistance during such a distressing situation is unacceptable and i have no intention of flying with this airline again
3,delayed and cancelled flights so arrived 10 hours later that originally expected given 2 samosas and offered a breakfast because of missing my connecting flight and having to wait 7 hours  the food packaging was ripped and some of the breakfast removed everything was cold old and dry the attendant were uninterested and offered little information or help arrived in manchester to hear that my luggage was still in kenya so i had to wait 2 days for it to arrive with no warm clothes or shoes and no medication
4,kigali to amsterdam via nairobi 4th feb 2024 ticket cheap promotional purchased instantly after kq resumed their nbo flights to china via bangkok trip started well checkin in kgl clear though tedious 2040 minutes per person in skypriority line luggage inscribed the whole way inclusive of an additional leg to hanoi on another ticket with vietnam airlines another skyteam alliance member that would ease my transfer in bkk later the trip became an unreasonable lengthy odyssey over 4 days due to just a two hours delayed departure from kgl i missed connection nbobkk which was closed at gate or cancelled i have different information on this first kq sent me from the now closed gate 11 in nbo to gate 8 to board with qatar airways to doh and then to han final destination however i had to decline as only nbodoh was booked and acknowledged by qr the remaining sector was not booked and qr refused to book me through to hanoi then i had to queue up at kqtransfer desks who eventually told me that they alternatively would provide me hotel in kenya until their next departure 2 days later  on top they further needed a supervisors approval to this long stay i would go on next direct flight but had to await ticket reissuance in the meantime they sent me to their prime lounge in nbo to wait for details went airsidelandsideairside and had to endure 2 security checks the details dragged on however at 4 am i was without any dialogue laconically sent a rebooked itinerary nboams by kq and then amsbkk by klm that detour implied a 23 times longer trip with arrival in bkk a day later than planned they then saved on hotels but added on flight costs i thought i better accept this solution as to discuss options seemed not easy and i was too tired to make a fuss and would then arrive a day earlier than feared those two trips went well i narrowly managed transfer in ams but my luggage was not following me it apparently stayed on in nairobi this i arrived bkk without my luggage it only arrived there with kqs own flight the following day i had in the meantime postponed and rebooked my onwards tickets with vietnam airlines who of course could not sent my luggage with me as it had not yet arrived bangkok yet however vn did a great job to retrieve it and eventually submitted it to my private address in vietnam upon an extra day and some ongoing actions from my side not to the benefit of kenya airways flight 1 apart from the delay it was a fine trip on a well occupied b737800 lounge in kigali was accessed through my flying blue gold card and was a pleasure food is good including several hot dishes and savory snacks drink options are very sparse but well stocked as usual gate calls in kigali are done way too early and even before arriving aircrafts have landed if adhered to one would sit in the dull gate area for 12 hours instead of enjoying the lounge to a maximum thus i refused to be chased out of lounge early as there were no reason to rush for nothing boarding easy onboard i got my wanted seat and preordered seafoodmeal wines onboard are drinkable as compared to those served in the lounge flight 2 a boeing 787 aircraft a bit worn on time flight was not full i was given three seats to flat out as i was deprived sleep struggling in the airport the previous night flight crew were very good two full meal servings ife is ok
5,all legs on this flight were delayed from johannesburg to accra the journey took 18 hours and from accra to johannesburg it took 20 hours staff seldom gave correct information on the left from accra to nairobi we asked the crew how much longer she replied an hour and a half within 5 minutes the captain states we are ready to descend
6,he boarding was late the service onboard very average for a business class product connecting flight was chaotic onboard services hardly had options what is concerning is the captain of the flight had his 2 sons on the flight from nairobi to cape town and allowed them access to the cockpit for both take off in nairobi and landing in cape town on kq784 for 18 january so not even safety is respected
7,his is our first time flying with kenya airways  will be the last we are in africa for a 25th anniversary trip  we were flying kq flight 471 from kigali to nairobi on 19th jan 2024 we arrived at the airport at 7 am for the 910 am flight minutes after takeoff the pilot announced that we were returning to the gate as a door latch wasnt closing  they needed to have it looked at at around 10 am after half an hour sitting on the flight they said we needed to get off  they would give us an update after sitting around for 3 hours at 1 pm we were told that we would be put on a flight at 7 pm and that they were going to bus us to a hotel for lunch  to wait we had a flight to zanzibar at 630 pm on jan 19th but since we werent even supposed to leave kigali till 7 pm we knew we would not make our connection the kenya airways rep assured all of us that all of us would automatically be booked onto connecting flights  we didnt have to worry about a thing since matters were out of our hands at that time we left with our fellow passengers  were taken to a not so nice hotel where we were told to have lunch  wait for an update at around 5 pm the reception informed us that kenya airways had updated them that we were no longer going on the 7 pm flight but were going to be out on a 340 am flight to nairobi the next day january 20th it would be more 17 hours past our original departure time but we had no option but to wait it out as our bags were still at the airport somehow we all made it to 1 am at night when a bus arrived to take us back to kigali airport upon arrival we were told that the 340 am flightkq 479 was delayed till 440 am to make things even more chaotic our connecting flight to zanzibarkq 490 was also already delayed from 8 am to 1120 am im writing this as i sit at the airport hoping to finally get to zanzibar today the total flight time from kigali to nairobi  nairobi to zanzibar is 3 hours or so and thanks to kenya airways we have already spent 27 hours at the airport  the hotel  we still dont know if we will actually get to zanzibar today and if our bags will be on the zanzibar flight time will tell its only now that im reading all the terrible reviews of kenya airways we experienced the terrible customer service first hand with agents not having any replies to questions absolutely no apologies from any staff for the agony caused and long lines of angry customers at every counter the horror stories are real avoid this airline like the plague if you value your peace of mind anyone can understand one aircraft having operational issues but from what we saw and experienced cancellations delays no accountability  no apologies are a daily way of life for kenya airways how can an airline get it so wrong so many times bottom linerun as fast as you can from kenya airways you will thank yourself that you did if you still choose to book with them after reading all these reviews well you were warned
8,absolutely disgusting service our outbound flight from johannesburg in december 2023 was delayed by 8 hours only to land in nairobi and be delayed a further hour on arrival in bangkok our luggage was missing no help response or apology from kenya airways fortunately bangkok luggage staff sorted out the issue after 4 days our return flight from bangkok started with no sign of any staff at the closed boarding gate until 2 hours before an international flight patrons were left confused and uncertain of what next to do or if they could eat etc on arrival at nairobi in january 2024 our flight to johannesburg was once again delayed the staff are arrogant and not helpful horrible experience
9,do yourself a favour and dont ever fly kenya airways the airline didnt load any of the passengers luggages onto the flight from nairobi to cape town which we later found from other passengers online that it is a frequent occurrence to anywhere neither did they inform the arrival airport so passengers were left waiting more than 3 hours after landing wondering what caused the baggage delay to rub salt to the wound kenya airways did not provide any update on luggages and was practically uncontactable via phone its official whatsapp email social media messenger so we were left stranded with very little on us and no idea at all if our luggages will ever be delivered they did eventually deliver after 34 days followup calls for documentation for insurance purposes also hit a brick wall the airline simply ignores all customer service requests do yourself a favour and do not fly with kenya airways despite their promise of being customer centric its all a lie and facade ts simply not worth the anguish that you will experience
10,worst experience ever and the hostesses wasnt helpful first flight from dubai to nairobi was delayed more than one hour second flight from nairobi to johannesburg delayed again charger on flight was not working my food was disgusting no communication as to why flight was delayed and no indication of time of departure i requested to move my seat and i was told no arriving in johannesburg my luggage wasnt on the flight i had to wait 3 days to get my suitcase from the airline as it was left in dubai being on vacation its absolutely horrid not having my personal essentials yesterday 5 january my flight was delayed  flight to nairobi was full and again very helpless hostesses arrived late at nairobi for the next flight and they made us wait 1 and a half hours late for departure no explanation as to why i paid for the economy comfort seats on both flights second flight was horrid charger for my phone wasnt working again and when i informed the air hostess she asked me what do i want her to do about it if its not working its not working asked for a blanket 4 times before eventually getting one
11,   worst experience ever they change boarding and flight time without considering of the customers last minute changes also changing flights for long hours without providing an alternative solution you can never trust them since one doesnt know what to expect the airline is full of surprises
12,the worst airline you can opt for i started from mumbai last week that flight was delayed and they were not intimation it to to me i had a connection flight to kilimanjaro last minute they changed my flight to another carrier same way i have been kept on dark about when my flight will depart for mumbai as everybody including their staff are clueless
13,poor customer service and losing passenger luggage 2 weeks on still waiting on my luggage every time i call the customer service line i am advised that they dont have an update on my luggage the staff are rude and dont know how to respond to questions kq please put this as a disclaimer that a passengers luggage may not arrive at their destination your baggage contact line 254203274747 is as good as not having a phone number as it doesnt work if you want economy flight with zero customer service and dont care about losing your luggage this is the best airline for it
